number,name,section,part,account_type
32502,по_межбанковским_кредитам_депозитам_и_прочим_размещенным_средствам_предоставленным_банкам-нерезидентам,balance_accounts,Просроченные_проценты_по_предоставленным_межбанковским_кредитам__депозитам_и_прочим_размещенным_средствам,А
32505,Резервы_на_возможные_потери,balance_accounts,Просроченные_проценты_по_предоставленным_межбанковским_кредитам__депозитам_и_прочим_размещенным_средствам,П
32901,Прочие_средства_полученные_от_Банка_России,balance_accounts,Прочие_средства__полученные_от_Банка_России_и_размещенные_в_Банке_России,П
40501,Финансовые_организации,balance_accounts,Счета_организаций__находящихся_в_федеральной_собственности,П
40502,Коммерческие_организации,balance_accounts,Счета_организаций__находящихся_в_федеральной_собственности,П
40503,Некоммерческие_организации,balance_accounts,Счета_организаций__находящихся_в_федеральной_собственности,П
40601,Финансовые_организации,balance_accounts,Счета_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
40602,Коммерческие_организации,balance_accounts,Счета_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
40603,Некоммерческие_организации,balance_accounts,Счета_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
40604,Специальный_банковский_счет_регионального_оператора,balance_accounts,Счета_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
40701,Финансовые_организации,balance_accounts,Счета_негосударственных_организаций,П
40702,Коммерческие_организации,balance_accounts,Счета_негосударственных_организаций,П
40703,Некоммерческие_организации,balance_accounts,Счета_негосударственных_организаций,П
40705,Специальный_банковский_счет_товариществ_собственников_жилья_жилищных_кооперативов_и_иных_специализированных_потребительских_кооперативов_управляющих_организаций,balance_accounts,Счета_негосударственных_организаций,П
40802,Индивидуальные_предприниматели,balance_accounts,Прочие_счета,П
40804,"Юридические_лица_и_индивидуальные_предприниматели-нерезиденты_-_счета_типа_""Т""",balance_accounts,Прочие_счета,П
40805,"Юридические_лица_и_индивидуальные_предприниматели-нерезиденты_-_счета_типа_""И""",balance_accounts,Прочие_счета,П
40807,Юридические_лица-нерезиденты,balance_accounts,Прочие_счета,П
40814,"Юридические_и_физические_лица-_нерезиденты_-_счета_типа_""К""_(конвертируемые)",balance_accounts,Прочие_счета,П
40815,"Юридические_и_физические_лица-_нерезиденты_-_счета_типа_""Н""_(неконвертируемые)",balance_accounts,Прочие_счета,П
40817,Физические_лица,balance_accounts,Прочие_счета,П
40818,Специальные_банковские_счета_нерезидентов_в_валюте_Российской_Федерации,balance_accounts,Прочие_счета,П
40820,Счета_физических_лиц-нерезидентов,balance_accounts,Прочие_счета,П
40821,Специальный_банковский_счет_платежного_агента_банковского_платежного_агента_(субагента)_поставщика,balance_accounts,Прочие_счета,П
40901,Обязательства_по_аккредитивам,balance_accounts,Средства_в_расчетах,П
40902,Обязательства_по_аккредитивам_с_нерезидентами,balance_accounts,Средства_в_расчетах,П
40903,Средства_для_расчетов_чеками_предоплаченными_картами_и_осуществления_переводов_электронных_денежных_средств_с_использованием_электронного_средства_платежа,balance_accounts,Средства_в_расчетах,П
40906,Инкассированные_наличные_деньги,balance_accounts,Средства_в_расчетах,П
40911,Расчеты_по_переводам_денежных_средств,balance_accounts,Средства_в_расчетах,П
41002,на_срок_до_30_дней,balance_accounts,Депозиты_Федерального_казначейства,П
41101,до_востребования,balance_accounts,Депозиты_финансовых_органов_субъектов_Российской_Федерации_и_органов_местного_самоуправления,П
41103,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_финансовых_органов_субъектов_Российской_Федерации_и_органов_местного_самоуправления,П
41104,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_финансовых_органов_субъектов_Российской_Федерации_и_органов_местного_самоуправления,П
41402,на_срок_до_30_дней,balance_accounts,Депозиты_финансовых_организаций__находящихся_в_федеральной_собственности,П
41403,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_финансовых_организаций__находящихся_в_федеральной_собственности,П
41404,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_финансовых_организаций__находящихся_в_федеральной_собственности,П
41405,на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_финансовых_организаций__находящихся_в_федеральной_собственности,П
41504,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_коммерческих_организаций__находящихся_в_федеральной_собственности,П
41602,на_срок_до_30_дней,balance_accounts,Депозиты_некоммерческих_организаций__находящихся_в_федеральной_собственности,П
41603,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_некоммерческих_организаций__находящихся_в_федеральной_собственности,П
41604,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_некоммерческих_организаций__находящихся_в_федеральной_собственности,П
41605,на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_некоммерческих_организаций__находящихся_в_федеральной_собственности,П
41606,на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_некоммерческих_организаций__находящихся_в_федеральной_собственности,П
41702,на_срок_до_30_дней,balance_accounts,Депозиты_финансовых_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
41704,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_финансовых_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
41803,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_коммерческих_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
41806,на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_коммерческих_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
41903,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_некоммерческих_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
41906,на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_некоммерческих_организаций__находящихся_в_государственной_(кроме_федеральной)_собственности,П
42001,до_востребования,balance_accounts,Депозиты_негосударственных_финансовых_организаций,П
42002,на_срок_до_30_дней,balance_accounts,Депозиты_негосударственных_финансовых_организаций,П
42003,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_негосударственных_финансовых_организаций,П
42004,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_негосударственных_финансовых_организаций,П
42005,на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_негосударственных_финансовых_организаций,П
42006,на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_негосударственных_финансовых_организаций,П
42007,на_срок_свыше_3_лет,balance_accounts,Депозиты_негосударственных_финансовых_организаций,П
42101,депозиты_негосударственных_коммерческих_организаций_до_востребования,balance_accounts,Депозиты_негосударственных_коммерческих_организаций_и_индивидуальных_предпринимателей,П
42102,депозиты_негосударственных_коммерческих_организаций_на_срок_до_30_дней,balance_accounts,Депозиты_негосударственных_коммерческих_организаций_и_индивидуальных_предпринимателей,П
42103,депозиты_негосударственных_коммерческих_организаций_на_срок_от_31_до_90_дней,balance_accounts,Депозиты_негосударственных_коммерческих_организаций_и_индивидуальных_предпринимателей,П
42104,депозиты_негосударственных_коммерческих_организаций_на_срок_от_91_до_180_дней,balance_accounts,Депозиты_негосударственных_коммерческих_организаций_и_индивидуальных_предпринимателей,П
42105,депозиты_негосударственных_коммерческих_организаций_на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_негосударственных_коммерческих_организаций_и_индивидуальных_предпринимателей,П
42106,депозиты_негосударственных_коммерческих_организаций_на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_негосударственных_коммерческих_организаций_и_индивидуальных_предпринимателей,П
42107,депозиты_негосударственных_коммерческих_организаций_на_срок_свыше_3_лет,balance_accounts,Депозиты_негосударственных_коммерческих_организаций_и_индивидуальных_предпринимателей,П
42202,на_срок_до_30_дней,balance_accounts,Депозиты_негосударственных_некоммерческих_организаций,П
42203,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_негосударственных_некоммерческих_организаций,П
42204,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_негосударственных_некоммерческих_организаций,П
42205,на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_негосударственных_некоммерческих_организаций,П
42206,на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_негосударственных_некоммерческих_организаций,П
42301,Депозиты_до_востребования,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42303,Депозиты_на_срок_от_31_до_90_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42304,Депозиты_на_срок_от_91_до_180_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42305,Депозиты_на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42306,Депозиты_на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42307,Депозиты_на_срок_свыше_3_лет,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42309,Прочие_привлеченные_средства_до_востребования,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42310,Прочие_привлеченные_средства_на_срок_до_30_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42311,Прочие_привлеченные_средства_на_срок_от_31_до_90_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42312,Прочие_привлеченные_средства_на_срок_от_91_до_180_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42313,Прочие_привлеченные_средства_на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42314,Прочие_привлеченные_средства_на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42315,Прочие_привлеченные_средства_на_срок_свыше_3_лет,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц,П
42502,на_срок_до_30_дней,balance_accounts,Депозиты_юридических_лиц-нерезидентов,П
42503,на_срок_от_31_до_90_дней,balance_accounts,Депозиты_юридических_лиц-нерезидентов,П
42504,на_срок_от_91_до_180_дней,balance_accounts,Депозиты_юридических_лиц-нерезидентов,П
42505,на_срок_от_181_дня_до_1_года,balance_accounts,Депозиты_юридических_лиц-нерезидентов,П
42506,на_срок_от_1_года_до_3_лет,balance_accounts,Депозиты_юридических_лиц-нерезидентов,П
42507,на_срок_свыше_3_лет,balance_accounts,Депозиты_юридических_лиц-нерезидентов,П
42601,Депозиты_до_востребования,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
42603,Депозиты_на_срок_от_31_до_90_дней,balance_accounts,Депозиты_и_прочие_привлеченные_средства_физических_лиц-нерезидентов,П
